iter	Logloss
0	0.6719632998
1	0.6496466486
2	0.6300748694
3	0.6108645325
4	0.593722546
5	0.5780404426
6	0.5633746291
7	0.5466858489
8	0.5332481548
9	0.5214758884
10	0.5108971082
11	0.5004092659
12	0.4911524261
13	0.4810722918
14	0.4712445439
15	0.4623892375
16	0.4540027486
17	0.4448977884
18	0.437694039
19	0.4317189842
20	0.4243724448
21	0.4190950846
22	0.4121452549
23	0.4062271625
24	0.4024599268
25	0.3978424271
26	0.3928195364
27	0.3882711592
28	0.3843691418
29	0.3794845641
30	0.3755216996
31	0.3716406755
32	0.3678494195
33	0.3642214063
34	0.3606574339
35	0.357372867
36	0.353700971
37	0.3509907392
38	0.3476173094
39	0.3452981933
40	0.3422504684
41	0.3398029726
42	0.3375190708
43	0.3348545667
44	0.3315353162
45	0.3291283642
46	0.3271710446
47	0.3255320853
48	0.324031974
49	0.3226065607
50	0.3203893794
51	0.3187688312
52	0.3167910451
53	0.3145749573
54	0.3130889857
55	0.3114259638
56	0.3101610825
57	0.3084636467
58	0.3062823152
59	0.3039008041
60	0.3024816287
61	0.300624824
62	0.2991613021
63	0.2978041257
64	0.2966669676
65	0.2947141855
66	0.2935805262
67	0.2922802057
68	0.2910980779
69	0.2894509749
70	0.288383948
71	0.2876639241
72	0.286217586
73	0.2853678439
74	0.2840135744
75	0.2829987676
76	0.282039539
77	0.2810508068
78	0.2795722124
79	0.2787213783
80	0.2781743065
81	0.2774985351
82	0.276776157
83	0.2757884697
84	0.2746294099
85	0.2737607321
86	0.2726716702
87	0.2717429137
88	0.2707347442
89	0.269933796
90	0.2690102047
91	0.2683663125
92	0.2675425689
93	0.2666535098
94	0.2655801152
95	0.2645949439
96	0.2640401163
97	0.2633134336
98	0.2628377595
99	0.2617778555
100	0.2606906724
101	0.2600274589
102	0.2594764119
103	0.2588599374
104	0.258314678
105	0.2575333773
106	0.2567196669
107	0.2558984949
108	0.2555601941
109	0.2549986132
110	0.2542604908
111	0.2535441515
112	0.2529748119
113	0.252326951
114	0.2517389335
115	0.2510869358
116	0.250432042
117	0.2495064269
118	0.2488275334
119	0.2479378759
120	0.2472952133
121	0.2466462419
122	0.2458725687
123	0.2451479945
124	0.2444778388
125	0.2437600944
126	0.2433549443
127	0.2426831652
128	0.2422328974
129	0.2417379099
130	0.241175566
131	0.2405629399
132	0.2399347657
133	0.2394660281
134	0.2390612944
135	0.2385099802
136	0.2378453605
137	0.2374928168
138	0.2370333004
139	0.2363383515
140	0.2358742342
141	0.2353289578
142	0.2345588797
143	0.2340263021
144	0.2335354139
145	0.2328865199
146	0.2323347836
147	0.2318126834
148	0.2314170557
149	0.2311135035
150	0.2305554831
151	0.2299297398
152	0.2296083892
153	0.2291734404
154	0.2286378256
155	0.2282224794
156	0.2277781774
157	0.2273990688
158	0.2268558239
159	0.2261897165
160	0.2255419332
161	0.2251865902
162	0.2247761183
163	0.2245561042
164	0.2242055745
165	0.223734231
166	0.2232792584
167	0.2228387103
168	0.22239227
169	0.2218153901
170	0.2212303992
171	0.2207132319
172	0.2203242318
173	0.2198187066
174	0.2193687474
175	0.2187622895
176	0.2179909425
177	0.2176606884
178	0.2171495966
179	0.2168550298
180	0.2163974138
181	0.2160641913
