iter	Passed	Remaining
0	75	75633
1	78	39418
2	82	27372
3	85	21278
4	88	17605
5	91	15129
6	95	13478
7	98	12193
8	101	11192
9	105	10422
10	108	9745
11	111	9199
12	115	8768
13	118	8353
14	122	8016
15	125	7711
16	128	7436
17	131	7195
18	134	6958
19	138	6780
20	141	6601
21	144	6431
22	148	6291
23	151	6143
24	154	6015
25	158	5931
26	163	5875
27	167	5820
28	171	5756
29	175	5686
30	179	5604
31	182	5526
32	186	5465
33	189	5394
34	193	5323
35	196	5262
36	200	5207
37	203	5157
38	207	5102
39	210	5051
40	213	5004
41	217	4955
42	221	4920
43	224	4884
44	228	4845
45	231	4811
46	235	4779
47	239	4743
48	242	4715
49	247	4707
50	251	4688
51	255	4660
52	258	4627
53	262	4606
54	266	4582
55	270	4561
56	274	4547
57	278	4527
58	282	4503
59	286	4483
60	289	4460
61	293	4444
62	297	4427
63	301	4410
64	305	4401
65	309	4385
66	313	4370
67	317	4355
68	322	4345
69	325	4328
70	329	4313
71	333	4298
72	337	4286
73	341	4268
74	344	4254
75	348	4242
76	352	4225
77	356	4208
78	360	4199
79	365	4198
80	369	4186
81	374	4189
82	377	4172
83	381	4159
84	385	4146
85	388	4131
86	392	4117
87	396	4107
88	400	4098
89	404	4086
90	407	4074
91	411	4061
92	415	4051
93	419	4040
94	422	4029
95	427	4029
96	432	4025
97	436	4014
98	439	4003
99	443	3992
100	447	3983
101	451	3972
102	455	3968
103	459	3959
104	463	3951
105	467	3940
106	470	3930
107	474	3920
108	478	3912
109	482	3903
110	486	3896
111	490	3887
112	494	3877
113	498	3873
114	502	3864
115	506	3856
116	509	3847
117	513	3838
118	517	3829
119	521	3822
120	525	3815
121	529	3807
122	532	3797
123	536	3787
124	539	3779
125	543	3771
126	547	3766
127	552	3761
128	556	3757
129	560	3750
130	563	3741
131	567	3731
132	571	3722
133	574	3713
134	578	3706
135	582	3699
136	585	3689
137	589	3681
138	593	3676
139	598	3673
140	601	3666
141	605	3658
142	609	3653
143	613	3649
144	618	3644
145	621	3637
146	625	3630
147	629	3625
148	633	3617
149	637	3611
150	641	3605
151	645	3601
152	649	3595
153	653	3592
154	657	3585
155	662	3581
156	665	3574
157	669	3569
158	673	3561
159	677	3557
160	681	3552
161	685	3545
162	689	3538
163	692	3532
164	696	3525
165	700	3520
166	704	3514
167	708	3510
168	712	3502
169	716	3496
170	720	3493
171	724	3489
172	728	3483
173	733	3479
174	737	3476
175	741	3472
176	745	3465
177	749	3459
178	752	3453
179	756	3446
180	760	3441
181	764	3435
182	767	3428
183	771	3423
184	776	3420
185	779	3412
186	783	3407
187	787	3401
188	791	3398
189	795	3391
190	799	3386
191	803	3379
192	807	3376
193	810	3369
194	815	3365
195	819	3360
196	823	3357
197	827	3352
198	831	3348
199	836	3347
200	842	3347
201	845	3341
202	849	3335
203	853	3329
204	856	3322
205	860	3317
206	864	3312
207	868	3306
208	871	3300
209	875	3294
210	880	3293
211	884	3286
212	888	3284
213	892	3279
214	897	3275
215	901	3272
216	905	3267
217	909	3261
218	913	3258
219	917	3253
220	921	3248
221	925	3242
222	929	3237
223	933	3232
224	937	3230
225	942	3226
226	945	3221
227	950	3217
228	954	3213
229	958	3208
230	962	3203
231	966	3199
232	970	3194
233	974	3189
234	978	3185
235	982	3180
236	986	3176
237	990	3171
238	994	3167
239	998	3162
240	1002	3158
241	1007	3154
242	1011	3150
243	1015	3145
244	1019	3141
245	1023	3136
246	1027	3131
247	1031	3127
248	1035	3122
249	1039	3119
250	1043	3114
251	1047	3110
252	1051	3106
253	1055	3100
254	1060	3097
255	1064	3094
256	1068	3090
257	1072	3085
258	1076	3080
259	1080	3076
260	1085	3073
261	1090	3072
262	1096	3071
263	1100	3068
264	1105	3066
265	1110	3063
266	1115	3061
267	1120	3059
268	1126	3059
269	1133	3065
270	1140	3068
271	1147	3070
272	1151	3066
273	1156	3064
274	1161	3063
275	1167	3061
276	1172	3061
277	1177	3057
278	1181	3053
279	1186	3049
280	1190	3045
281	1194	3042
282	1199	3038
283	1204	3035
284	1208	3032
285	1213	3030
286	1218	3027
287	1223	3025
288	1228	3023
289	1233	3020
290	1238	3017
291	1243	3014
292	1247	3011
293	1252	3008
294	1256	3003
295	1260	2998
296	1264	2993
297	1268	2987
298	1272	2982
299	1276	2977
300	1279	2971
301	1284	2968
302	1288	2963
303	1292	2958
304	1296	2954
305	1300	2949
306	1308	2953
307	1312	2948
308	1316	2944
309	1321	2940
310	1324	2935
311	1329	2932
312	1333	2926
313	1337	2922
314	1341	2918
315	1345	2913
316	1350	2909
317	1354	2905
318	1358	2900
319	1363	2897
320	1368	2893
321	1371	2888
322	1376	2885
323	1381	2881
324	1385	2877
325	1389	2872
326	1393	2868
327	1397	2863
328	1402	2859
329	1406	2855
330	1410	2849
331	1414	2845
332	1418	2840
333	1422	2835
334	1426	2830
335	1430	2826
336	1434	2822
337	1438	2817
338	1442	2813
339	1446	2808
340	1451	2804
341	1455	2800
342	1459	2795
343	1463	2790
344	1467	2786
345	1471	2781
346	1475	2776
347	1479	2771
348	1483	2767
349	1488	2763
350	1492	2759
351	1496	2754
352	1500	2750
353	1504	2746
354	1508	2741
355	1513	2737
356	1516	2732
357	1520	2727
358	1526	2725
359	1531	2722
360	1540	2726
361	1545	2723
362	1550	2720
363	1554	2716
364	1558	2711
365	1562	2706
366	1566	2701
367	1570	2697
368	1575	2693
369	1579	2690
370	1584	2685
371	1588	2682
372	1593	2678
373	1597	2673
374	1600	2667
375	1605	2664
376	1610	2660
377	1614	2656
378	1618	2652
379	1623	2649
380	1627	2644
381	1631	2639
382	1635	2635
383	1640	2632
384	1645	2627
385	1649	2623
386	1653	2619
387	1657	2613
388	1660	2608
389	1665	2604
390	1670	2601
391	1674	2596
392	1678	2592
393	1682	2588
394	1687	2584
395	1691	2579
396	1695	2575
397	1699	2570
398	1704	2567
399	1707	2561
400	1711	2556
401	1715	2552
402	1720	2548
403	1724	2544
404	1728	2539
405	1733	2535
406	1737	2532
407	1742	2527
408	1746	2523
409	1751	2520
410	1755	2515
